txn_id,timestamp,timestamp_status,user_id,merchant_id,amount,amount_status,utr,utr_status,mcc,mcc_status,status
TXN00006056,2026-01-18 14:04:37,VALID,USR74396,MCH3197,12329.64,VALID,UTR9066186368,VALID,4131,VALID,SUCCESS
TXN00010147,2026-01-16 17:24:29,VALID,USR91777,MCH4915,19600.29,VALID,UTR0387036525,VALID,4131,VALID,SUCCESS
TXN00008021,2026-02-13 00:38:19,VALID,USR87162,MCH8216,12452.0,VALID,UTR6064791461,VALID,5912,VALID,SUCCESS
TXN00015299,2026-03-12 03:39:52,VALID,USR81720,MCH9260,15641.17,VALID,UTR8680623402,VALID,5812,VALID,SUCCESS
TXN00012856,2026-03-16 23:45:31,VALID,USR76098,MCH6109,5205.0,VALID,UTR9338335376,VALID,5912,VALID,FAILED
TXN00002230,2026-02-27 04:10:10,VALID,USR41686,MCH3071,7504.98,VALID,UTR9557966907,VALID,5812,VALID,SUCCESS
TXN00008304,2026-03-20 05:00:36,VALID,USR95674,MCH5401,5379.22,VALID,UTR8910180483,VALID,,MISSING,SUCCESS
TXN00002751,2026-08-01 18:34:26,VALID,USR62352,MCH6961,9710.26,VALID,UTR2411349944,VALID,4131,VALID,SUCCESS
TXN00016154,2026-12-01 06:43:49,VALID,USR24396,MCH4549,7444.86,VALID,UTR9010745901,VALID,7011,VALID,SUCCESS
TXN00002002,2026-02-02 21:46:04,VALID,USR30273,MCH3715,6182.0,VALID,UTR4088897098,VALID,5411,VALID,SUCCESS
TXN00017871,2026-03-23 02:31:39,VALID,USR84134,MCH7932,1129.96,VALID,UTR2897803833,VALID,5411,VALID,FAILED
TXN00009906,2026-02-19 18:35:29,VALID,USR91737,MCH9669,9793.08,VALID,UTR7243374821,VALID,7011,VALID,SUCCESS
TXN00012105,2026-02-11 21:01:18,VALID,USR62385,MCH7681,7551.46,VALID,UTR8310520572,VALID,4131,VALID,SUCCESS
TXN00003363,2026-03-30 03:38:47,VALID,USR87291,MCH4490,17312.05,VALID,UTR6688677473,VALID,5912,VALID,SUCCESS
TXN00004301,2026-03-15 01:52:40,VALID,USR98963,MCH8511,2024.58,VALID,UTR0403071756,VALID,4131,VALID,PROCESSING
TXN00012813,2026-01-09 06:36:33,VALID,USR20191,MCH8936,7452.0,VALID,UTR9559448527,VALID,,MISSING,SUCCESS
TXN00009678,2026-03-06 07:59:54,VALID,USR64256,MCH3235,1728.09,VALID,,MISSING,7011,VALID,SUCCESS
TXN00017971,2026-01-03 10:55:10,VALID,USR62625,MCH9776,1198.21,VALID,UTR7890902701,VALID,5812,VALID,SUCCESS
TXN00016152,2026-01-21 09:16:16,VALID,USR20475,MCH5563,13950.77,VALID,UTR8762321453,VALID,5411,VALID,SUCCESS
TXN00011334,2026-03-29 13:01:14,VALID,USR32767,MCH8033,18247.02,VALID,UTR4892994283,VALID,5812,VALID,SUCCESS
TXN00012493,2026-03-20 10:23:23,VALID,USR18021,MCH3684,8404.49,VALID,UTR0110455957,VALID,5812,VALID,SUCCESS
TXN00002376,2026-02-02 00:00:00,DATE_ONLY,USR38437,MCH4578,6891.78,VALID,UTR5079845432,VALID,5411,VALID,SUCCESS
TXN00016897,2026-02-01 02:05:20,VALID,USR67814,MCH5171,1728.83,VALID,UTR9272463214,VALID,4131,VALID,SUCCESS
TXN00003924,2026-02-09 22:29:17,VALID,USR42819,MCH7536,6655.55,VALID,UTR9885770586,VALID,4131,VALID,FAILED
TXN00012810,2026-01-28 00:00:00,DATE_ONLY,USR16089,MCH3478,14920.61,VALID,UTR2659964448,VALID,5912,VALID,SUCCESS
TXN00014604,2026-02-07 00:55:35,VALID,USR90912,MCH3992,6800.75,VALID,UTR3515806131,VALID,4131,VALID,SUCCESS
TXN00008536,2026-01-30 07:20:31,VALID,USR90160,MCH8495,8104.15,VALID,,MISSING,5912,VALID,SUCCESS
TXN00014556,2026-01-15 17:25:05,VALID,USR81688,MCH2222,10183.23,VALID,UTR4323114461,VALID,5912,VALID,SUCCESS
TXN00004965,2026-01-17 05:03:06,VALID,USR65014,MCH3468,12070.2,VALID,UTR0153287222,VALID,4131,VALID,SUCCESS
TXN00012380,2026-03-29 17:51:12,VALID,USR11339,MCH9899,22522.69,VALID,UTR5306302554,VALID,4131,VALID,SUCCESS
TXN00016736,2026-02-13 10:42:16,VALID,USR86671,MCH1318,22925.42,VALID,UTR8483573352,VALID,5411,VALID,SUCCESS
TXN00006289,2026-02-18 07:48:57,VALID,USR35502,MCH6411,24165.1,VALID,UTR8869496578,VALID,,MISSING,SUCCESS
TXN00013908,2026-02-19 08:21:13,VALID,USR13844,MCH6787,915.95,VALID,UTR5021961853,VALID,5411,VALID,SUCCESS
TXN00005968,2026-02-20 00:00:00,DATE_ONLY,USR20374,MCH9694,2195.0,VALID,UTR0092134543,DUPLICATE,5411,VALID,SUCCESS
TXN00010276,2026-01-14 14:05:26,VALID,USR50541,MCH2324,12011.12,VALID,UTR4772427896,VALID,5812,VALID,PROCESSING
TXN00006474,2026-01-16 05:40:02,VALID,USR15164,MCH2258,24223.92,VALID,UTR6806916882,VALID,5411,VALID,FAILED
TXN00010498,2026-02-02 10:57:46,VALID,USR80912,MCH8382,14757.01,VALID,UTR4263242407,VALID,4131,VALID,SUCCESS
TXN00014376,2026-03-07 04:27:25,VALID,USR70302,MCH5376,20627.72,VALID,UTR2595478610,VALID,5411,VALID,SUCCESS
TXN00000489,2026-01-16 07:34:36,VALID,USR16400,MCH8181,23760.78,VALID,UTR6606633603,VALID,7011,VALID,SUCCESS
TXN00015714,2026-01-13 22:39:19,VALID,USR28439,MCH5333,21372.31,VALID,UTR6760441626,VALID,5812,VALID,SUCCESS
TXN00014711,2026-02-06 08:05:02,VALID,USR90525,MCH9888,10222.36,VALID,UTR4063458835,VALID,5411,VALID,SUCCESS
TXN00018474,2026-02-04 14:40:14,VALID,USR50590,MCH6271,10839.22,VALID,UTR4596136519,VALID,5411,VALID,SUCCESS
TXN00000224,2026-03-01 03:00:12,VALID,USR15259,MCH1799,9199.22,VALID,UTR2738330060,VALID,,MISSING,SUCCESS
TXN00005633,2026-01-29 07:58:11,VALID,USR69720,MCH9129,4672.89,VALID,UTR4546388237,VALID,7011,VALID,SUCCESS
TXN00004328,2026-02-03 11:49:56,VALID,USR19395,MCH4330,24563.21,VALID,UTR7701194945,VALID,,MISSING,SUCCESS
TXN00009685,2026-02-17 05:55:50,VALID,USR48293,MCH3778,13853.0,VALID,UTR0416062097,VALID,7011,VALID,SUCCESS
TXN00002724,2026-03-14 04:01:56,VALID,USR74105,MCH2807,11455.31,VALID,UTR9017145438,VALID,5411,VALID,SUCCESS
TXN00012687,2026-01-21 02:49:51,VALID,USR17936,MCH4330,15994.0,VALID,UTR9292098304,VALID,,MISSING,SUCCESS
TXN00013883,2026-01-31 20:52:51,VALID,USR66862,MCH5569,16368.07,VALID,UTR2460914781,VALID,5912,VALID,SUCCESS
TXN00010284,2026-02-07 17:53:38,VALID,USR84713,MCH8033,20724.96,VALID,UTR9679708700,VALID,5912,VALID,SUCCESS
TXN00016950,2026-03-02 21:52:21,VALID,USR92059,MCH5284,8732.0,VALID,UTR9637214589,VALID,5912,VALID,SUCCESS
TXN00001288,2026-03-31 16:52:07,VALID,USR62469,MCH4709,8772.17,VALID,UTR4380253542,VALID,5812,VALID,SUCCESS
TXN00018168,2026-02-26 18:15:26,VALID,USR18484,MCH7007,14231.14,VALID,UTR0728524782,VALID,5411,VALID,SUCCESS
TXN00019686,2026-02-09 03:30:45,VALID,USR18812,MCH4407,12580.71,VALID,UTR6640964146,VALID,5812,VALID,SUCCESS
TXN00003100,2026-03-16 03:54:54,VALID,USR57308,MCH7112,10845.23,VALID,UTR1936400434,VALID,5411,VALID,SUCCESS
TXN00004458,2026-01-14 17:23:21,VALID,USR45841,MCH8118,3508.28,VALID,UTR4012895022,VALID,,MISSING,SUCCESS
TXN00005596,2026-02-09 17:41:28,VALID,USR14781,MCH9010,11951.91,VALID,UTR7767785322,VALID,,MISSING,SUCCESS
TXN00013560,2026-10-02 18:48:56,VALID,USR52838,MCH2487,12874.04,VALID,UTR2505214559,VALID,7011,VALID,SUCCESS
TXN00005113,2026-01-20 22:08:15,VALID,USR59091,MCH5481,15023.8,VALID,UTR7885746162,VALID,7011,VALID,SUCCESS
TXN00004382,2026-02-09 07:49:44,VALID,USR41359,MCH6188,1788.0,VALID,UTR3223727564,VALID,5411,VALID,FAILED
TXN00000501,2026-03-21 07:59:26,VALID,USR89249,MCH6141,17457.06,VALID,UTR6418765672,VALID,4131,VALID,SUCCESS
TXN00015867,2026-02-03 09:51:32,VALID,USR22510,MCH1710,19999.28,VALID,UTR4037860306,VALID,,MISSING,SUCCESS
TXN00009000,2026-03-08 18:50:10,VALID,USR50781,MCH4452,23299.28,VALID,UTR7035856587,VALID,,MISSING,FAILED
TXN00015273,2026-02-25 21:26:11,VALID,USR68103,MCH9191,9060.1,VALID,UTR3174009003,VALID,4131,VALID,SUCCESS
TXN00014299,2026-03-29 14:21:33,VALID,USR65210,MCH2827,12535.81,VALID,UTR8506543282,VALID,5411,VALID,SUCCESS
TXN00003270,2026-01-28 02:07:55,VALID,USR15604,MCH4643,17218.9,VALID,UTR3172822886,VALID,5812,VALID,FAILED
TXN00001731,2026-01-20 11:53:08,VALID,USR32551,MCH1513,7663.28,VALID,UTR5999659974,VALID,5812,VALID,SUCCESS
TXN00010729,2026-02-05 11:50:33,VALID,USR15670,MCH7869,4434.27,VALID,UTR9532881220,VALID,5812,VALID,SUCCESS
TXN00016379,2026-02-02 12:14:35,VALID,USR33003,MCH4564,13236.1,VALID,UTR0210719519,VALID,5411,VALID,SUCCESS
TXN00019886,2026-02-27 11:51:21,VALID,USR63295,MCH8082,13247.83,VALID,,MISSING,,MISSING,SUCCESS
TXN00013446,2026-09-03 16:11:52,VALID,USR65132,MCH2804,22208.81,VALID,UTR9695047215,VALID,5411,VALID,SUCCESS
TXN00019919,2026-02-11 07:16:01,VALID,USR28532,MCH4744,21787.59,VALID,UTR5946059768,VALID,7011,VALID,SUCCESS
TXN00015848,2026-03-14 00:00:00,DATE_ONLY,USR47788,MCH8306,19340.0,VALID,UTR5491341754,VALID,5411,VALID,PROCESSING
TXN00012409,2026-02-11 08:41:30,VALID,USR21890,MCH6790,24277.1,VALID,UTR6709219519,VALID,5912,VALID,SUCCESS
TXN00004601,2026-03-25 07:19:26,VALID,USR12389,MCH1015,-4973.8,NEGATIVE,UTR7964275007,VALID,5812,VALID,SUCCESS
TXN00001022,2026-03-02 21:34:50,VALID,USR50138,MCH1795,7440.75,VALID,UTR4834151699,VALID,7011,VALID,SUCCESS
TXN00003957,2026-02-06 05:16:23,VALID,USR20098,MCH1501,23162.33,VALID,UTR3598244387,VALID,5912,VALID,SUCCESS
TXN00005885,2026-02-05 18:19:19,VALID,USR17338,MCH5199,12009.79,VALID,UTR6613055314,DUPLICATE,,MISSING,SUCCESS
TXN00003161,2026-03-23 00:00:00,DATE_ONLY,USR25738,MCH5735,11103.55,VALID,,MISSING,7011,VALID,FAILED
TXN00003183,2026-03-19 08:34:23,VALID,USR83823,MCH6677,7752.07,VALID,UTR7232258080,VALID,4131,VALID,SUCCESS
TXN00005958,2026-03-28 22:37:35,VALID,USR27388,MCH3069,9224.44,VALID,UTR1270153526,VALID,7011,VALID,SUCCESS
TXN00018600,2026-01-03 01:57:59,VALID,USR52027,MCH9778,6989.39,VALID,UTR1379778285,VALID,5812,VALID,SUCCESS
TXN00011473,2026-03-03 00:00:00,DATE_ONLY,USR28894,MCH8529,24964.02,VALID,UTR8038923106,VALID,5411,VALID,SUCCESS
TXN00009867,2026-03-09 00:58:30,VALID,USR30052,MCH1367,10701.31,VALID,UTR2346819295,VALID,4131,VALID,SUCCESS
TXN00018096,2026-09-03 09:26:52,VALID,USR49422,MCH2628,13326.81,VALID,UTR8557379697,VALID,,MISSING,SUCCESS
TXN00017701,2026-03-02 05:49:07,VALID,USR36315,MCH4921,19623.08,VALID,UTR6081235727,VALID,7011,VALID,SUCCESS
TXN00006531,2026-01-21 01:59:54,VALID,USR58010,MCH1941,13869.97,VALID,UTR3163046139,VALID,5812,VALID,SUCCESS
TXN00009761,2026-02-05 20:21:06,VALID,USR26470,MCH3240,23132.36,VALID,UTR4257556463,VALID,,MISSING,FAILED
TXN00003245,2026-03-06 07:06:01,VALID,USR62662,MCH6418,17556.63,VALID,UTR2892934019,VALID,,MISSING,SUCCESS
TXN00006562,2026-03-22 13:46:10,VALID,USR64443,MCH7071,8094.88,VALID,UTR1599752498,DUPLICATE,,MISSING,SUCCESS
TXN00002254,2026-12-03 14:54:58,VALID,USR94428,MCH8149,20733.88,VALID,UTR8066942893,VALID,5411,VALID,SUCCESS
TXN00016290,2026-03-18 22:25:36,VALID,USR21325,MCH5558,442.18,VALID,UTR7671258903,VALID,4131,VALID,SUCCESS
TXN00016796,2026-02-12 22:02:25,VALID,USR80985,MCH6805,3687.47,VALID,UTR0030159658,VALID,5912,VALID,FAILED
TXN00010765,2026-01-06 06:54:03,VALID,USR94871,MCH6302,19884.0,VALID,UTR2028825714,VALID,5812,VALID,SUCCESS
TXN00019503,2026-02-22 01:00:03,VALID,USR41382,MCH4223,15791.16,VALID,UTR6699377405,VALID,5912,VALID,SUCCESS
TXN00014716,2026-08-02 07:36:01,VALID,USR49876,MCH2050,3366.08,VALID,UTR1476775470,VALID,7011,VALID,SUCCESS
TXN00006256,2026-02-23 03:15:37,VALID,USR14015,MCH6029,13751.42,VALID,UTR2129646944,VALID,5912,VALID,SUCCESS
TXN00004895,2026-11-03 04:32:45,VALID,USR47645,MCH2661,9676.31,VALID,UTR8070140615,VALID,5912,VALID,SUCCESS
TXN00013615,2026-12-02 13:50:51,VALID,USR55054,MCH5778,12236.91,VALID,UTR3196969917,VALID,4131,VALID,PROCESSING
TXN00004390,2026-01-03 20:01:22,VALID,USR82367,MCH2471,1111.0,VALID,UTR8049306447,VALID,4131,VALID,FAILED
TXN00013135,2026-03-15 23:28:30,VALID,USR62232,MCH5820,16348.45,VALID,UTR0689397331,VALID,5812,VALID,SUCCESS
TXN00007764,2026-02-22 13:43:32,VALID,USR45173,MCH9008,17835.91,VALID,UTR4303084605,VALID,,MISSING,SUCCESS
TXN00006741,2026-02-22 13:01:20,VALID,USR97470,MCH8566,4285.0,VALID,UTR2018087042,VALID,5411,VALID,SUCCESS
TXN00005667,2026-01-15 16:09:35,VALID,USR82683,MCH4954,17585.0,VALID,UTR1856107063,VALID,5812,VALID,SUCCESS
TXN00002573,2026-09-03 13:57:55,VALID,USR45426,MCH7628,8044.18,VALID,UTR8379481246,VALID,4131,VALID,SUCCESS
TXN00008388,2026-01-10 08:17:36,VALID,USR33183,MCH3234,8337.71,VALID,UTR8271193431,VALID,7011,VALID,SUCCESS
TXN00001918,2026-01-17 22:01:23,VALID,USR86997,MCH8289,14830.18,VALID,UTR0226310424,VALID,,MISSING,FAILED
TXN00006890,2026-03-31 04:30:36,VALID,USR18653,MCH5002,12754.53,VALID,UTR4896759390,VALID,7011,VALID,SUCCESS
TXN00001877,2026-03-18 09:47:30,VALID,USR68781,MCH7697,14762.79,VALID,UTR4828129667,VALID,5411,VALID,SUCCESS
TXN00012941,2026-03-15 12:02:44,VALID,USR45922,MCH7221,7072.81,VALID,UTR1085355495,VALID,5411,VALID,SUCCESS
TXN00001855,2026-03-04 14:33:19,VALID,USR51089,MCH4135,22973.97,VALID,UTR9892348742,VALID,7011,VALID,SUCCESS
TXN00007710,2026-03-22 19:06:47,VALID,USR26757,MCH2527,21021.22,VALID,,MISSING,7011,VALID,SUCCESS
TXN00008290,2026-01-15 22:39:21,VALID,USR27847,MCH7236,12764.71,VALID,UTR6153659104,VALID,5812,VALID,SUCCESS
TXN00006772,2026-03-18 12:25:58,VALID,USR94267,MCH2968,21751.92,VALID,UTR8820824677,VALID,5411,VALID,SUCCESS
TXN00007152,2026-01-11 13:35:54,VALID,USR89803,MCH5051,2607.94,VALID,UTR6520425753,VALID,7011,VALID,SUCCESS
TXN00019159,2026-01-03 20:51:03,VALID,USR91934,MCH3192,3235.55,VALID,UTR7785440434,VALID,7011,VALID,SUCCESS
TXN00018877,2026-02-12 17:03:46,VALID,USR94279,MCH4458,2633.71,VALID,UTR0208479978,VALID,5411,VALID,FAILED
TXN00013932,2026-02-15 01:49:16,VALID,USR12186,MCH9903,22356.76,VALID,UTR2777053913,DUPLICATE,7011,VALID,SUCCESS
TXN00011036,2026-02-28 01:17:28,VALID,USR58619,MCH4195,23630.29,VALID,UTR8606568251,VALID,5411,VALID,SUCCESS
TXN00002210,2026-02-10 13:17:50,VALID,USR25650,MCH7633,22770.15,VALID,UTR6547928288,VALID,,MISSING,SUCCESS
TXN00013949,2026-02-26 16:46:41,VALID,USR52890,MCH8297,13314.64,VALID,UTR8644144643,VALID,4131,VALID,SUCCESS
TXN00010462,2026-01-10 06:57:34,VALID,USR74619,MCH7994,13136.01,VALID,UTR7807345583,VALID,5411,VALID,SUCCESS
TXN00006278,2026-03-22 15:33:40,VALID,USR34338,MCH9625,9120.52,VALID,UTR8320354300,VALID,,MISSING,PROCESSING
TXN00003871,2026-02-17 15:10:14,VALID,USR42606,MCH9293,9887.53,VALID,UTR5551098474,VALID,4131,VALID,SUCCESS
TXN00001361,2026-03-30 22:36:15,VALID,USR32248,MCH6292,22809.96,VALID,UTR0970673209,VALID,5411,VALID,SUCCESS
TXN00009946,2026-01-08 11:06:07,VALID,USR94116,MCH6420,6344.99,VALID,UTR4147066623,VALID,,MISSING,SUCCESS
TXN00014956,2026-01-14 11:34:27,VALID,USR56846,MCH6762,17894.0,VALID,UTR5535367419,VALID,4131,VALID,SUCCESS
TXN00019328,2026-01-27 00:00:00,DATE_ONLY,USR44178,MCH2650,13654.39,VALID,UTR1102816150,VALID,5411,VALID,SUCCESS
TXN00006743,2026-04-02 19:47:26,VALID,USR56840,MCH9043,14258.98,VALID,UTR9104827598,VALID,4131,VALID,SUCCESS
TXN00016890,2026-01-04 17:12:15,VALID,USR71010,MCH6947,5759.97,VALID,UTR8213266496,VALID,4131,VALID,SUCCESS
TXN00002944,2026-02-03 14:17:31,VALID,USR16871,MCH1543,17863.46,VALID,UTR5195239565,VALID,5912,VALID,SUCCESS
TXN00015833,2026-03-06 16:22:11,VALID,USR16919,MCH6172,11314.83,VALID,UTR8917323097,VALID,5812,VALID,SUCCESS
TXN00007043,2026-02-23 21:24:22,VALID,USR63554,MCH6856,16154.71,VALID,UTR7336479883,DUPLICATE,5912,VALID,SUCCESS
TXN00000544,2026-01-26 10:24:00,VALID,USR55398,MCH3702,16796.0,VALID,UTR1271171522,VALID,5411,VALID,SUCCESS
TXN00013082,2026-02-05 21:11:51,VALID,USR51796,MCH6558,4249.83,VALID,UTR5780172800,VALID,5912,VALID,FAILED
TXN00018606,2026-01-20 01:07:09,VALID,USR79348,MCH3891,15822.0,VALID,UTR5691443894,VALID,,MISSING,SUCCESS
TXN00008708,2026-03-05 15:12:56,VALID,USR70734,MCH8795,12585.0,VALID,UTR2977773398,VALID,5411,VALID,SUCCESS
TXN00001416,2026-03-15 18:54:22,VALID,USR70574,MCH6009,23415.78,VALID,UTR4690357243,VALID,5812,VALID,SUCCESS
TXN00015801,2026-01-18 16:30:53,VALID,USR15942,MCH8224,-12354.43,NEGATIVE,UTR9996906622,VALID,4131,VALID,SUCCESS
TXN00006868,2026-02-02 05:20:40,VALID,USR99527,MCH3029,4499.48,VALID,UTR2114946772,VALID,5812,VALID,SUCCESS
TXN00014400,2026-06-03 07:49:47,VALID,USR52163,MCH9650,1310.79,VALID,UTR9004810689,VALID,,MISSING,SUCCESS
TXN00003793,2026-01-21 13:32:52,VALID,USR38819,MCH2865,14875.0,VALID,UTR6018853447,VALID,5812,VALID,SUCCESS
TXN00013122,2026-01-31 01:39:27,VALID,USR32938,MCH8037,1094.48,VALID,UTR5192612128,VALID,,MISSING,FAILED
TXN00019973,2026-03-16 00:00:00,DATE_ONLY,USR54512,MCH6087,13754.22,VALID,UTR6350813794,VALID,4131,VALID,SUCCESS
TXN00005733,2026-02-01 01:04:13,VALID,USR57996,MCH4311,16398.96,VALID,UTR9717957041,VALID,7011,VALID,SUCCESS
TXN00000857,2026-01-28 17:47:41,VALID,USR36546,MCH1993,923.0,VALID,UTR5550054258,VALID,5411,VALID,SUCCESS
TXN00009229,2026-03-14 18:04:35,VALID,USR51915,MCH1115,9604.88,VALID,UTR7417389627,VALID,7011,VALID,SUCCESS
TXN00003956,2026-01-08 16:07:41,VALID,USR88988,MCH4530,21711.55,VALID,UTR0982077199,VALID,5812,VALID,SUCCESS
TXN00011166,2026-01-17 05:27:17,VALID,USR65914,MCH8645,13353.57,VALID,UTR1399509627,VALID,,MISSING,SUCCESS
TXN00013458,2026-01-28 07:05:26,VALID,USR94809,MCH7835,2813.91,VALID,UTR5382624520,VALID,5912,VALID,FAILED
TXN00003868,2026-03-12 06:00:43,VALID,USR56303,MCH9976,16898.81,VALID,UTR5592000068,VALID,7011,VALID,SUCCESS
TXN00017467,2026-01-28 12:52:08,VALID,USR39328,MCH7149,10552.24,VALID,UTR5443481052,VALID,5411,VALID,SUCCESS
TXN00008285,2026-03-02 16:39:50,VALID,USR57543,MCH3324,14699.01,VALID,UTR2417094641,VALID,5411,VALID,SUCCESS
TXN00008746,2026-03-09 08:39:36,VALID,USR67216,MCH3964,12623.44,VALID,UTR7986507905,VALID,5812,VALID,SUCCESS
TXN00011933,2026-01-01 00:00:00,DATE_ONLY,USR64876,MCH4498,1946.37,VALID,UTR3972655143,VALID,4131,VALID,SUCCESS
TXN00014949,2026-03-26 12:30:31,VALID,USR78291,MCH7524,11307.82,VALID,UTR5920392910,VALID,,MISSING,SUCCESS
TXN00019507,2026-01-11 17:03:14,VALID,USR28132,MCH9557,20109.29,VALID,UTR9242521630,VALID,4131,VALID,SUCCESS
TXN00000798,2026-01-11 08:21:59,VALID,USR48316,MCH4566,14132.68,VALID,UTR8456037386,VALID,7011,VALID,SUCCESS
TXN00013748,2026-01-19 23:19:53,VALID,USR38173,MCH9279,16963.88,VALID,UTR3788028760,VALID,5812,VALID,SUCCESS
TXN00000530,2026-03-30 04:09:50,VALID,USR70377,MCH5425,21619.0,VALID,,MISSING,5411,VALID,SUCCESS
TXN00003403,2026-02-22 17:58:54,VALID,USR41637,MCH9494,24972.33,VALID,UTR9211291234,VALID,5812,VALID,SUCCESS
TXN00012335,2026-01-13 13:20:16,VALID,USR99474,MCH5091,8571.54,VALID,UTR0086394213,VALID,5411,VALID,SUCCESS
