txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status
TXN00012813,2026-01-09 06:36:33,USR20191,MCH8936,"INR 7,452",UTR9559448527,,COMPLETED
TXN00009678,2026-03-06 07:59:54,USR64256,MCH3235,"₹1,728.09",,7011,TXN_SUCCESS
TXN00017971,01/03/2026 10:55:10,USR62625,MCH9776,1198.21,UTR7890902701,5812,TXN_SUCCESS
TXN00016152,01-21-2026 09:16:16 AM,USR20475,MCH5563,13950.77,UTR8762321453,05411,Success
TXN00011334,2026-03-29 13:01:14,USR32767,MCH8033,18247.02,UTR4892994283,5812,S
TXN00012493,2026-03-20 10:23:23,USR18021,MCH3684,8404.49,UTR0110455957,5812,TXN_SUCCESS
TXN00002376,2026/02/02,USR38437,MCH4578,6891.78,UTR5079845432,5411,SUCCESS
TXN00016897,2026-02-01 02:05:20,USR67814,MCH5171,"₹1,728.83",UTR9272463214,4131,SUCCESS
TXN00003924,2026-02-09 22:29:17,USR42819,MCH7536,Rs. 6655.55,UTR9885770586,4131,Declined
TXN00012810,2026/01/28,USR16089,MCH3478,14920.61,UTR2659964448,5912,S
TXN00014604,02-07-2026 12:55:35 AM,USR90912,MCH3992,6800.75,UTR3515806131,4131,COMPLETED
TXN00008536,2026-01-30 07:20:31,USR90160,MCH8495,"₹8,104.15",,5912,Success
TXN00014556,15/01/2026 17:25:05,USR81688,MCH2222,Rs. 10183.23,UTR4323114461,5912,COMPLETED
TXN00004965,2026-01-17 05:03:06,USR65014,MCH3468,12070.2,UTR0153287222,4131,SUCCESS
TXN00012380,29/03/2026 17:51:12,USR11339,MCH9899,22522.69,UTR5306302554,4131,SUCCESS
TXN00016736,2026-02-13 10:42:16,USR86671,MCH1318,22925.42,UTR8483573352,05411,SUCCESS
TXN00006289,2026-02-18 07:48:57,USR35502,MCH6411,24165.1,UTR8869496578,,S
TXN00013908,19/02/2026 08:21:13,USR13844,MCH6787,Rs. 915.95,UTR5021961853,5411,S
TXN00005968,2026/02/20,USR20374,MCH9694,"INR 2,195",UTR0092134543,5411,TXN_SUCCESS
TXN00010276,2026-01-14 14:05:26,USR50541,MCH2324,"12,011.12",UTR4772427896,5812,Pending
TXN00006474,16/01/2026 05:40:02,USR15164,MCH2258,"₹24,223.92",UTR6806916882,5411,Declined
TXN00010498,2026-02-02 10:57:46,USR80912,MCH8382,14757.01,UTR4263242407,4131,SUCCESS
TXN00014376,2026-03-07 04:27:25,USR70302,MCH5376,"20,627.72",UTR2595478610,05411,COMPLETED
TXN00000489,1768548876,USR16400,MCH8181,23760.78,UTR6606633603,7011,Success
TXN00015714,2026-01-13 22:39:19,USR28439,MCH5333,21372.31,UTR6760441626,5812,TXN_SUCCESS
TXN00014711,02-06-2026 08:05:02 AM,USR90525,MCH9888,10222.36,UTR4063458835,05411,COMPLETED
TXN00018474,2026-02-04 14:40:14,USR50590,MCH6271,10839.22,UTR 4596136519,05411,COMPLETED
TXN00000224,2026-03-01 03:00:12,USR15259,MCH1799,"₹9,199.22",UTR2738330060,,TXN_SUCCESS
TXN00005633,01-29-2026 07:58:11 AM,USR69720,MCH9129,"₹4,672.89",UTR4546388237,7011,SUCCESS
TXN00004328,2026-02-03 11:49:56,USR19395,MCH4330,Rs. 24563.21,UTR7701194945,,Success
TXN00009685,2026-02-17 05:55:50,USR48293,MCH3778,13853.0,UTR0416062097,7011,S
TXN00002724,2026-03-14 04:01:56,USR74105,MCH2807,11455.31,UTR9017145438,5411,Success
TXN00012687,2026-01-21 02:49:51,USR17936,MCH4330,"INR 15,994",UTR9292098304,,COMPLETED
TXN00013883,31/01/2026 20:52:51,USR66862,MCH5569,16368.07,UTR2460914781,5912,Success
TXN00010284,2026-02-07 17:53:38,USR84713,MCH8033,20724.96,UTR9679708700,5912,Success
TXN00016950,03/02/2026 21:52:21,USR92059,MCH5284,"INR 8,732",UTR9637214589,5912,COMPLETED
TXN00001288,31/03/2026 16:52:07,USR62469,MCH4709,8772.17,UTR4380253542,5812,COMPLETED
TXN00018168,2026-02-26 18:15:26,USR18484,MCH7007,14231.14,UTR0728524782,05411,S
TXN00019686,2026-02-09 03:30:45,USR18812,MCH4407,12580.71,UTR6640964146,5812,COMPLETED
TXN00003100,2026-03-16 03:54:54,USR57308,MCH7112,10845.23,UTR1936400434,05411,S
TXN00004458,2026-01-14 17:23:21,USR45841,MCH8118,"₹3,508.28",UTR4012895022,,TXN_SUCCESS
TXN00005596,2026-02-09 17:41:28,USR14781,MCH9010,Rs. 11951.91,UTR7767785322,,Success
TXN00013560,10/02/2026 18:48:56,USR52838,MCH2487,Rs. 12874.04,UTR2505214559,7011,SUCCESS
TXN00005113,2026-01-20 22:08:15,USR59091,MCH5481,15023.8,UTR7885746162,7011,SUCCESS
TXN00004382,2026-02-09 07:49:44,USR41359,MCH6188,"INR 1,788",UTR3223727564,5411,Fail
TXN00000501,2026-03-21 07:59:26,USR89249,MCH6141,17457.06,UTR6418765672,4131,SUCCESS
TXN00015867,02-03-2026 09:51:32 AM,USR22510,MCH1710,19999.28,UTR4037860306,,TXN_SUCCESS
TXN00009000,2026-03-08 18:50:10,USR50781,MCH4452,23299.28,UTR7035856587,,Declined
TXN00015273,2026-02-25 21:26:11,USR68103,MCH9191,9060.1,UTR3174009003,4131,TXN_SUCCESS
TXN00014299,29/03/2026 14:21:33,USR65210,MCH2827,12535.81,UTR 8506543282,05411,Success
TXN00003270,2026-01-28 02:07:55,USR15604,MCH4643,17218.9,UTR3172822886,5812,F
TXN00001731,01-20-2026 11:53:08 AM,USR32551,MCH1513,"₹7,663.28",UTR5999659974,5812,COMPLETED
TXN00010729,2026-02-05 11:50:33,USR15670,MCH7869,Rs. 4434.27,UTR9532881220,5812,SUCCESS
TXN00016379,02-02-2026 12:14:35 PM,USR33003,MCH4564,"₹13,236.10",UTR 0210719519,05411,TXN_SUCCESS
TXN00019886,02-27-2026 11:51:21 AM,USR63295,MCH8082,"₹13,247.83",,,COMPLETED
TXN00013446,09/03/2026 16:11:52,USR65132,MCH2804,22208.81,UTR9695047215,05411,S
TXN00019919,2026-02-11 07:16:01,USR28532,MCH4744,21787.59,UTR5946059768,7011,TXN_SUCCESS
TXN00015848,2026/03/14,USR47788,MCH8306,"INR 19,340",UTR5491341754,5411,Initiated
TXN00012409,02-11-2026 08:41:30 AM,USR21890,MCH6790,24277.1,UTR6709219519,5912,SUCCESS
TXN00004601,03-25-2026 07:19:26 AM,USR12389,MCH1015,-4973.8,UTR 7964275007,5812,COMPLETED
TXN00001022,1772487290,USR50138,MCH1795,7440.75,UTR4834151699,7011,S
TXN00003957,2026-02-06 05:16:23,USR20098,MCH1501,23162.33,UTR3598244387,5912,SUCCESS
TXN00005885,02-05-2026 06:19:19 PM,USR17338,MCH5199,"₹12,009.79",UTR6613055314,,TXN_SUCCESS
TXN00003161,2026/03/23,USR25738,MCH5735,"11,103.55",,7011,F
TXN00003183,2026-03-19 08:34:23,USR83823,MCH6677,7752.07,UTR7232258080,4131,COMPLETED
TXN00005958,2026-03-28 22:37:35,USR27388,MCH3069,9224.44,UTR 1270153526,7011,Success
TXN00018600,2026-01-03 01:57:59,USR52027,MCH9778,6989.39,UTR1379778285,5812,S
TXN00011473,2026/03/03,USR28894,MCH8529,24964.02,UTR8038923106,5411,TXN_SUCCESS
TXN00009867,2026-03-09 00:58:30,USR30052,MCH1367,10701.31,UTR2346819295,4131,S
TXN00018096,09/03/2026 09:26:52,USR49422,MCH2628,13326.81,UTR 8557379697,,SUCCESS
TXN00017701,2026-03-02 05:49:07,USR36315,MCH4921,19623.08,UTR6081235727,7011,TXN_SUCCESS
TXN00006531,2026-01-21 01:59:54,USR58010,MCH1941,13869.97,UTR3163046139,5812,S
TXN00009761,02-05-2026 08:21:06 PM,USR26470,MCH3240,"23,132.36",UTR4257556463,,TXN_FAILED
TXN00003245,03-06-2026 07:06:01 AM,USR62662,MCH6418,"₹17,556.63",UTR2892934019,,Success
TXN00006562,2026-03-22 13:46:10,USR64443,MCH7071,Rs. 8094.88,UTR1599752498,,COMPLETED
TXN00002254,12/03/2026 14:54:58,USR94428,MCH8149,20733.88,UTR8066942893,5411,TXN_SUCCESS
TXN00016290,2026-03-18 22:25:36,USR21325,MCH5558,442.18,UTR7671258903,4131,TXN_SUCCESS
TXN00016796,2026-02-12 22:02:25,USR80985,MCH6805,3687.47,UTR0030159658,5912,Fail
TXN00010765,2026-01-06 06:54:03,USR94871,MCH6302,"INR 19,884",UTR2028825714,5812,Success
TXN00019503,2026-02-22 01:00:03,USR41382,MCH4223,15791.16,UTR6699377405,5912,Success
TXN00014716,08/02/2026 07:36:01,USR49876,MCH2050,3366.08,UTR 1476775470,7011,TXN_SUCCESS
TXN00006256,2026-02-23 03:15:37,USR14015,MCH6029,13751.42,UTR2129646944,5912,S
TXN00004895,11/03/2026 04:32:45,USR47645,MCH2661,9676.31,UTR8070140615,5912,SUCCESS
TXN00013615,12/02/2026 13:50:51,USR55054,MCH5778,"12,236.91",UTR3196969917,4131,PENDING
TXN00004390,2026-01-03 20:01:22,USR82367,MCH2471,"INR 1,111",UTR 8049306447,4131,Declined
TXN00013135,2026-03-15 23:28:30,USR62232,MCH5820,16348.45,UTR0689397331,5812,COMPLETED
TXN00007764,22/02/2026 13:43:32,USR45173,MCH9008,"₹17,835.91",UTR4303084605,,S
TXN00006741,2026-02-22 13:01:20,USR97470,MCH8566,"INR 4,285",UTR2018087042,5411,SUCCESS
TXN00005667,2026-01-15 16:09:35,USR82683,MCH4954,"INR 17,585",UTR1856107063,5812,COMPLETED
TXN00002573,09/03/2026 13:57:55,USR45426,MCH7628,8044.18,UTR8379481246,4131,COMPLETED
TXN00008388,2026-01-10 08:17:36,USR33183,MCH3234,"₹8,337.71",UTR8271193431,7011,S
TXN00001918,01-17-2026 10:01:23 PM,USR86997,MCH8289,14830.18,UTR 0226310424,,TXN_FAILED
TXN00006890,2026-03-31 04:30:36,USR18653,MCH5002,Rs. 12754.53,UTR4896759390,7011,Success
TXN00001877,18/03/2026 09:47:30,USR68781,MCH7697,14762.79,UTR4828129667,05411,Success
TXN00012941,2026-03-15 12:02:44,USR45922,MCH7221,7072.81,UTR1085355495,5411,SUCCESS
TXN00001855,2026-03-04 14:33:19,USR51089,MCH4135,"₹22,973.97",UTR9892348742,7011,TXN_SUCCESS
TXN00007710,2026-03-22 19:06:47,USR26757,MCH2527,21021.22,,7011,Success
TXN00008290,2026-01-15 22:39:21,USR27847,MCH7236,Rs. 12764.71,UTR6153659104,5812,COMPLETED
TXN00006772,2026-03-18 12:25:58,USR94267,MCH2968,21751.92,UTR8820824677,05411,SUCCESS
TXN00007152,2026-01-11 13:35:54,USR89803,MCH5051,2607.94,UTR6520425753,7011,TXN_SUCCESS
TXN00019159,01/03/2026 20:51:03,USR91934,MCH3192,3235.55,UTR7785440434,7011,SUCCESS
TXN00018877,2026-02-12 17:03:46,USR94279,MCH4458,2633.71,UTR0208479978,05411,Declined
TXN00013932,15/02/2026 01:49:16,USR12186,MCH9903,Rs. 22356.76,UTR2777053913,7011,SUCCESS
TXN00011036,2026-02-28 01:17:28,USR58619,MCH4195,23630.29,UTR8606568251,05411,S
TXN00002210,2026-02-10 13:17:50,USR25650,MCH7633,Rs. 22770.15,UTR6547928288,,SUCCESS
TXN00013949,26/02/2026 16:46:41,USR52890,MCH8297,13314.64,UTR8644144643,4131,COMPLETED
TXN00010462,2026-01-10 06:57:34,USR74619,MCH7994,13136.01,UTR7807345583,5411,COMPLETED
TXN00006278,2026-03-22 15:33:40,USR34338,MCH9625,9120.52,UTR8320354300,,Initiated
TXN00003871,2026-02-17 15:10:14,USR42606,MCH9293,9887.53,UTR5551098474,4131,COMPLETED
TXN00001361,30/03/2026 22:36:15,USR32248,MCH6292,"₹22,809.96",UTR0970673209,05411,S
TXN00009946,2026-01-08 11:06:07,USR94116,MCH6420,6344.99,UTR4147066623,,SUCCESS
TXN00014956,1768390467,USR56846,MCH6762,"INR 17,894",UTR5535367419,4131,SUCCESS
TXN00019328,2026/01/27,USR44178,MCH2650,"₹13,654.39",UTR1102816150,05411,SUCCESS
TXN00006743,04/02/2026 19:47:26,USR56840,MCH9043,14258.98,UTR9104827598,4131,Success
TXN00016890,2026-01-04 17:12:15,USR71010,MCH6947,5759.97,UTR8213266496,4131,SUCCESS
TXN00002944,2026-02-03 14:17:31,USR16871,MCH1543,17863.46,UTR5195239565,5912,Success
TXN00015833,2026-03-06 16:22:11,USR16919,MCH6172,11314.83,UTR8917323097,5812,TXN_SUCCESS
TXN00007043,2026-02-23 21:24:22,USR63554,MCH6856,16154.71,UTR7336479883,5912,COMPLETED
TXN00000544,2026-01-26 10:24:00,USR55398,MCH3702,"INR 16,796",UTR1271171522,5411,COMPLETED
TXN00013082,2026-02-05 21:11:51,USR51796,MCH6558,4249.83,UTR 5780172800,5912,TXN_FAILED
TXN00018606,2026-01-20 01:07:09,USR79348,MCH3891,"INR 15,822",UTR5691443894,,Success
TXN00008708,03-05-2026 03:12:56 PM,USR70734,MCH8795,"INR 12,585",UTR2977773398,5411,TXN_SUCCESS
TXN00001416,15/03/2026 18:54:22,USR70574,MCH6009,23415.78,UTR4690357243,5812,Success
TXN00015801,2026-01-18 16:30:53,USR15942,MCH8224,-12354.43,UTR 9996906622,4131,Success
TXN00006868,2026-02-02 05:20:40,USR99527,MCH3029,4499.48,UTR2114946772,5812,Success
TXN00014400,06/03/2026 07:49:47,USR52163,MCH9650,1310.79,UTR9004810689,,S
TXN00003793,21/01/2026 13:32:52,USR38819,MCH2865,"INR 14,875",UTR6018853447,5812,COMPLETED
TXN00013122,2026-01-31 01:39:27,USR32938,MCH8037,"₹1,094.48",UTR5192612128,,Fail
TXN00019973,2026/03/16,USR54512,MCH6087,Rs. 13754.22,UTR6350813794,4131,S
TXN00005733,2026-02-01 01:04:13,USR57996,MCH4311,16398.96,UTR9717957041,7011,S
TXN00000857,2026-01-28 17:47:41,USR36546,MCH1993,INR 923,UTR5550054258,05411,S
TXN00009229,2026-03-14 18:04:35,USR51915,MCH1115,9604.88,UTR7417389627,7011,SUCCESS
TXN00003956,2026-01-08 16:07:41,USR88988,MCH4530,21711.55,UTR0982077199,5812,Success
TXN00011166,2026-01-17 05:27:17,USR65914,MCH8645,13353.57,UTR1399509627,,SUCCESS
TXN00013458,1769583926,USR94809,MCH7835,2813.91,UTR5382624520,5912,Fail
TXN00003868,2026-03-12 06:00:43,USR56303,MCH9976,16898.81,UTR 5592000068,7011,COMPLETED
TXN00017467,01-28-2026 12:52:08 PM,USR39328,MCH7149,10552.24,UTR5443481052,5411,TXN_SUCCESS
TXN00008285,03-02-2026 04:39:50 PM,USR57543,MCH3324,"14,699.01",UTR2417094641,5411,Success
TXN00008746,03-09-2026 08:39:36 AM,USR67216,MCH3964,Rs. 12623.44,UTR7986507905,5812,COMPLETED
TXN00011933,2026/01/01,USR64876,MCH4498,1946.37,UTR3972655143,4131,TXN_SUCCESS
TXN00014949,26/03/2026 12:30:31,USR78291,MCH7524,"₹11,307.82",UTR5920392910,,S
TXN00019507,2026-01-11 17:03:14,USR28132,MCH9557,Rs. 20109.29,UTR 9242521630,4131,Success
TXN00000798,01-11-2026 08:21:59 AM,USR48316,MCH4566,14132.68,UTR8456037386,7011,COMPLETED
TXN00013748,19/01/2026 23:19:53,USR38173,MCH9279,"16,963.88",UTR3788028760,5812,Success
TXN00000530,2026-03-30 04:09:50,USR70377,MCH5425,"INR 21,619",,5411,TXN_SUCCESS
TXN00003403,2026-02-22 17:58:54,USR41637,MCH9494,Rs. 24972.33,UTR9211291234,5812,Success
TXN00012335,01-13-2026 01:20:16 PM,USR99474,MCH5091,8571.54,UTR0086394213,05411,Success
TXN00014868,20/01/2026 12:13:34,USR16484,MCH9796,10373.11,UTR 8902014532,,SUCCESS
TXN00003031,2026/03/15,USR47963,MCH9107,Rs. 4982.81,UTR8718492946,05411,TXN_SUCCESS
TXN00013835,2026-01-24 21:08:17,USR27680,MCH6609,9897.21,UTR2740449550,05411,Success
TXN00009208,2026-01-29 23:25:09,USR29988,MCH6674,-17176.94,UTR2481576524,5812,TXN_SUCCESS
TXN00001523,2026-02-07 00:19:58,USR59082,MCH2986,8797.05,UTR7365032242,5812,COMPLETED
TXN00002663,2026-02-26 11:55:58,USR81040,MCH7159,"₹5,401.36",UTR2434491753,5411,Success
TXN00000531,2026-03-24 03:33:52,USR87059,MCH2398,"20,324.40",UTR3664572467,5912,S
TXN00003077,2026-02-26 15:17:25,USR47405,MCH7343,23668.88,UTR8248929926,4131,TXN_SUCCESS
TXN00016976,2026-03-01 20:34:40,USR93330,MCH3309,"₹16,233.24",UTR4037587276,5411,Initiated
TXN00016462,07/02/2026 08:14:47,USR68337,MCH9483,20947.26,UTR0986025378,5411,COMPLETED
TXN00014952,2026-03-12 09:53:07,USR27405,MCH2020,"₹3,757.93",UTR7111551955,,Success
TXN00005031,2026-03-05 15:53:57,USR63626,MCH8980,7576.35,UTR1128602439,7011,Success
TXN00014087,2026-01-09 08:06:18,USR64203,MCH4836,18696.65,UTR4913175578,5812,TXN_SUCCESS
TXN00001325,2026-01-27 10:22:46,USR90944,MCH5397,"INR 24,397",UTR3907626365,5912,Success
TXN00000907,1773388157,USR51793,MCH2723,20437.91,UTR6734061273,5411,Success
TXN00009560,2026-02-27 21:03:48,USR98095,MCH9123,"₹14,674.64",UTR5004405426,05411,SUCCESS
TXN00004051,2026-01-08 14:44:59,USR93683,MCH5146,"INR 23,361",UTR4650796095,5812,S
TXN00011991,02-14-2026 12:10:35 AM,USR60047,MCH8389,2520.01,UTR 6606324895,,COMPLETED
TXN00003495,2026-01-15 20:56:53,USR18542,MCH9853,Rs. 16479.54,UTR0500956878,,PROCESSING
TXN00006619,2026-02-23 17:06:38,USR38189,MCH4170,Rs. 12547.46,UTR5013298779,7011,Success
TXN00015809,12/02/2026 15:46:31,USR49477,MCH4197,22148.21,UTR2447869177,5411,COMPLETED
TXN00011540,2026-01-16 22:29:01,USR70475,MCH2093,17706.6,UTR5337788089,05411,Success
TXN00001642,2026-01-28 22:13:49,USR76561,MCH8265,"₹21,052.41",,05411,S
TXN00015355,17/02/2026 00:14:52,USR64233,MCH2637,9539.58,UTR 9158286666,,F
TXN00000132,2026-01-31 15:03:31,USR43994,MCH5882,5560.47,UTR6137977201,5812,Success
TXN00006320,06/03/2026 22:56:02,USR23398,MCH4711,742.19,UTR4340638922,5812,COMPLETED
TXN00008066,2026-03-20 03:06:18,USR90493,MCH4816,381.25,UTR1936909825,5812,COMPLETED
TXN00014075,23/01/2026 16:36:52,USR74668,MCH7301,3660.81,UTR6352871603,7011,Fail
TXN00015127,22/02/2026 00:02:43,USR89478,MCH1683,16012.28,UTR0715628547,5411,Success
TXN00013146,03-12-2026 04:02:47 PM,USR72549,MCH3572,Rs. 18171.25,UTR8533537642,05411,TXN_SUCCESS
TXN00003904,2026-03-10 15:49:28,USR30722,MCH2232,6286.72,UTR3287642861,4131,S
TXN00018925,2026-01-31 19:26:34,USR26208,MCH6036,"INR 6,270",UTR1918249122,5411,SUCCESS
TXN00006959,11/03/2026 14:25:27,USR30787,MCH8975,17568.71,UTR2542128457,7011,SUCCESS
TXN00019885,2026-03-24 20:33:59,USR28528,MCH5078,"15,098.98",UTR5452684545,5912,Success
TXN00002539,2026-02-12 11:23:05,USR13072,MCH5845,18838.16,UTR5928104360,,Fail
TXN00019835,01-07-2026 11:35:24 AM,USR48760,MCH8851,7974.41,UTR 3921313841,7011,SUCCESS
TXN00001073,2026-02-12 06:57:43,USR42747,MCH6341,1061.91,UTR1861693921,5912,Success
TXN00014693,2026-02-24 13:53:09,USR64285,MCH1254,"₹20,181.42",UTR9463441956,,Success
TXN00004735,09/03/2026 21:48:59,USR96232,MCH8250,10769.09,UTR8453966842,5912,COMPLETED
TXN00018314,2026-01-07 02:15:17,USR23101,MCH4314,5344.1,UTR1634009353,,SUCCESS
TXN00004606,2026-01-10 05:53:26,USR29111,MCH6085,22425.91,UTR1252403861,05411,S
TXN00016468,02-26-2026 02:32:58 AM,USR63631,MCH8086,4240.46,UTR0303675906,5912,COMPLETED
TXN00011198,2026-01-16 19:53:07,USR76801,MCH8845,Rs. 8184.02,UTR 6365752601,5812,Fail
TXN00000741,2026-02-12 22:18:25,USR26260,MCH2132,"₹11,572.37",UTR0579751602,7011,F
TXN00007621,2026-03-17 16:46:10,USR50729,MCH1149,21527.22,UTR7334505742,5411,S
TXN00016121,2026-03-10 17:11:11,USR67936,MCH6815,"₹20,754.62",UTR8073695445,5912,Success
TXN00001724,09/01/2026 18:01:33,USR37443,MCH5752,"₹2,535.13",UTR3042928345,05411,TXN_SUCCESS
TXN00017221,2026-02-27 14:27:42,USR89331,MCH4765,777.87,UTR2158605456,4131,Success
TXN00009558,2026-01-18 09:03:38,USR14047,MCH4512,12623.81,UTR3937177231,05411,TXN_SUCCESS
TXN00008183,2026-02-06 01:25:04,USR44900,MCH5247,1734.06,UTR9793354972,4131,Declined
TXN00009034,05/01/2026 02:50:10,USR75471,MCH7485,20833.52,UTR0424909906,5411,Success
TXN00014018,2026-01-10 13:18:35,USR31412,MCH2709,492.42,UTR4746724547,4131,S
TXN00004874,2026-02-23 01:06:08,USR97275,MCH2554,5944.71,UTR6830139281,5812,COMPLETED
TXN00007864,1768480100,USR44326,MCH1799,15685.19,UTR3404029102,05411,Success
TXN00009260,01-21-2026 07:07:26 AM,USR13511,MCH1993,"₹3,251.36",UTR3318919990,7011,S
TXN00013890,2026-03-16 02:06:38,USR32631,MCH3066,"₹17,074.10",UTR1073728490,,COMPLETED
TXN00011597,2026-02-09 23:51:55,USR62076,MCH9201,12879.35,UTR6192699538,4131,SUCCESS
TXN00006434,2026-01-31 12:13:38,USR64536,MCH2268,"INR 12,885",UTR 8486571709,7011,S
TXN00018899,01-26-2026 01:11:59 AM,USR45095,MCH8750,2852.91,UTR1860286268,5411,SUCCESS
TXN00014925,02-02-2026 05:20:12 PM,USR46409,MCH9839,"₹12,792.59",UTR7578181694,5812,SUCCESS
TXN00003304,28/01/2026 22:13:38,USR58932,MCH3308,"8,035.84",UTR7338853254,,Initiated
